id,jd,gaia_mag,a_orb,e_orb,i_orb,Delta,R,alpha,H,G,gaia_mag_red,v
617,2457078.5249234117,15.62003704942029,5.211550030891116,0.1397053849940519,22.06018152789773,5.154334315648001,4.94811959106564,11.107,8.23,0.15,8.586973192030023,8.772160084530022
617,2457111.0055524157,15.870535419054216,5.211550030891116,0.1397053849940519,22.06018152789773,5.188599907505,5.47795306387977,10.3861,8.23,0.15,8.602192967085799,8.787379859585798
617,2457111.0798438787,15.879596894241883,5.211550030891116,0.1397053849940519,22.06018152789773,5.188678112141,5.47910125703838,10.3818,8.23,0.15,8.610766614675317,8.795953507175318
617,2457130.2587168617,16.005085128054635,5.211550030891116,0.1397053849940519,22.06018152789773,5.208834572925,5.755932867322088,8.9343,8.23,0.15,8.620803703339632,8.80599059583963
617,2457292.519984878,15.98943586122679,5.211550030891116,0.1397053849940519,22.06018152789773,5.3750251275370005,5.59449918525957,10.3346,8.23,0.15,8.598727292230944,8.783914184730943
617,2457292.593937313,15.990106600965605,5.211550030891116,0.1397053849940519,22.06018152789773,5.375098428856,5.593497703964161,10.3377,8.23,0.15,8.599757172906331,8.78494406540633
617,2457323.50254716,15.913433591050241,5.211550030891116,0.1397053849940519,22.06018152789773,5.405486234893,5.16018900105207,10.5725,8.23,0.15,8.685931718681072,8.871118611181071
617,2457486.632928003,16.08137493623338,5.211550030891116,0.1397053849940519,22.06018152789773,5.556126879184999,5.520524128211808,10.4627,8.23,0.15,8.64761260098173,8.83279949348173
617,2457513.8015414085,16.307189599908,5.211550030891116,0.1397053849940519,22.06018152789773,5.579374527453999,5.93414584728644,9.5202,8.23,0.15,8.707470943009465,8.892657835509462
624,2456885.72213265,15.281107861139295,5.266846822713621,0.0225560599234759,18.15492785838894,5.141308833094,5.79856745471043,8.2316,7.35,0.15,7.9091358314217,8.094322723921701
624,2456885.7961395914,15.053176334217458,5.266846822713621,0.0225560599234759,18.15492785838894,5.141316274835,5.79937374619681,8.2238,7.35,0.15,7.680899238920852,7.866086131420852
624,2456886.0462476057,15.307549009391415,5.266846822713621,0.0225560599234759,18.15492785838894,5.141341433314,5.802092683605371,8.1972,7.35,0.15,7.934243469047973,8.119430361547973
624,2456886.22246104,15.044172099423484,5.266846822713621,0.0225560599234759,18.15492785838894,5.141359167004,5.804002791506809,8.1784,7.35,0.15,7.670144316027285,7.855331208527285
624,2456886.296467953,15.2760402895773,5.266846822713621,0.0225560599234759,18.15492785838894,5.141366616925,5.80480364434247,8.1705,7.35,0.15,7.90170975440323,8.086896646903229
624,2457022.249650412,15.527319677865126,5.266846822713621,0.0225560599234759,18.15492785838894,5.156995462609,5.55698700620445,9.7494,7.35,0.15,8.241139024983534,8.426325917483533
624,2457044.1745924507,15.671248291655033,5.266846822713621,0.0225560599234759,18.15492785838894,5.159857514333,5.23685774400526,10.9457,7.35,0.15,8.512705862696707,8.697892755196706
624,2457073.7346827886,15.547918057833948,5.266846822713621,0.0225560599234759,18.15492785838894,5.163854485609,4.78487870724047,10.6648,7.35,0.15,8.583693413605491,8.76888030610549
624,2457073.91084343,14.945205479323244,5.266846822713621,0.0225560599234759,18.15492785838894,5.163878767179,4.782292690268321,10.6556,7.35,0.15,7.982144527181211,8.16733141968121
624,2457203.005023618,14.726147988437193,5.266846822713621,0.0225560599234759,18.15492785838894,5.183003016819001,4.67430360091521,10.4012,7.35,0.15,7.804656096042643,7.989842988542644
624,2457231.424327774,15.115988856044085,5.266846822713621,0.0225560599234759,18.15492785838894,5.187531085634999,5.08683799352863,11.4042,7.35,0.15,8.008945763286187,8.194132655786186
624,2457231.4981706203,15.11095140136085,5.266846822713621,0.0225560599234759,18.15492785838894,5.187542983402,5.0879493936690805,11.404000000000002,7.35,0.15,8.003428944939989,8.188615837439988
624,2457257.992895606,16.014893555011312,5.266846822713621,0.0225560599234759,18.15492785838894,5.191854116685,5.47777543167084,10.545,7.35,0.15,8.745260031153206,8.930446923653205
624,2457405.5453438414,15.080687855882234,5.266846822713621,0.0225560599234759,18.15492785838894,5.217168912226,5.80873198813059,8.3195,7.35,0.15,7.673106672970375,7.858293565470375
624,2457405.7215033844,15.188096441377548,5.266846822713621,0.0225560599234759,18.15492785838894,5.217200191462,5.80675621850003,8.3365,7.35,0.15,7.78124096517275,7.96642785767275
624,2457418.7269099457,15.651638718751038,5.266846822713621,0.0225560599234759,18.15492785838894,5.219514651088,5.64934180150206,9.4787,7.35,0.15,8.303498855837816,8.488685748337817
624,2457418.8008683217,15.091069307932825,5.266846822713621,0.0225560599234759,18.15492785838894,5.219527841262,5.648386419899992,9.4845,7.35,0.15,7.743291214507848,7.928478107007848
624,2457455.4484813064,14.995473048912912,5.266846822713621,0.0225560599234759,18.15492785838894,5.226099120695,5.1225367210912,11.0541,7.35,0.15,7.85715943468063,8.04234632718063
624,2457493.4288463155,15.158438901787827,5.266846822713621,0.0225560599234759,18.15492785838894,5.232971255007,4.59401505389874,9.1982,7.35,0.15,8.253735086175363,8.438921978675362
624,2457493.5028561275,14.648951948580615,5.266846822713621,0.0225560599234759,18.15492785838894,5.232984695923,4.5931435396972,9.1909,7.35,0.15,7.744654536896879,7.929841429396879
624,2457493.679018967,14.884306597358535,5.266846822713621,0.0225560599234759,18.15492785838894,5.233016689518,4.5910727508853295,9.1737,7.35,0.15,7.980975124623562,8.166162017123563
624,2457493.753027396,14.695988976557722,5.266846822713621,0.0225560599234759,18.15492785838894,5.233030130751,4.590204319105768,9.1664,7.35,0.15,7.7930627135304995,7.9782496060304995
