Name,id,jd,a_orb,e_orb,i_orb,Delta,R,alpha,umag,umag_err,umag_red,gmag,gmag_err,gmag_red,rmag,rmag_err,rmag_red,imag,imag_err,imag_red,zmag,zmag_err,zmag_red,Vmag,gaia_mag,gaia_mag_red,v,H,G
,617,2457513.801597653,5.209408189899459,0.1398938710094166,22.062353006170355,5.5793745747,5.9341466478675695,9.5202,,,,,,,,,,,,,,,,,16.196049965840174,8.596330997598328,8.796457685098328,8.18,0.15
,617,2457894.6478978973,5.209408189899459,0.1398938710094166,22.062353006170355,5.835093539551999,5.98534181211936,9.8196,,,,,,,,,,,,,,,,,16.481445488195913,8.765761590047944,8.965888277547945,8.18,0.15
,617,2457078.5249234103,5.209408189899459,0.1398938710094166,22.062353006170355,5.1543343154570005,4.9481195900726,11.107,,,,,,,,,,,,,,,,,15.646445249376464,8.613381392502456,8.813508080002457,8.18,0.15
,617,2457842.492000905,5.209408189899459,0.1398938710094166,22.062353006170355,5.808603907709,5.2239756876782,8.5443,,,,,,,,,,,,,,,,,16.332248312374073,8.92188376363902,9.122010451139019,8.18,0.15
,617,2457130.5089728767,5.209408189899459,0.1398938710094166,22.062353006170355,5.209097122062,5.759247978107541,8.9118,,,,,,,,,,,,,,,,,15.969317023782857,8.583675857219406,8.783802544719407,8.18,0.15
,617,2457894.7221240792,5.209408189899459,0.1398938710094166,22.062353006170355,5.835129162694,5.98644570840181,9.8173,,,,,,,,,,,,,,,,,16.60221647960922,8.886118869828119,9.08624555732812,8.18,0.15
,617,2457653.382100933,5.209408189899459,0.1398938710094166,22.062353006170355,5.689097734513,6.34304155797447,7.382999999999999,,,,,,,,,,,,,,,,,16.015101601827386,8.228396844408053,8.428523531908054,8.18,0.15
,617,2457862.491497221,5.209408189899459,0.1398938710094166,22.062353006170355,5.819104437663,5.4992641653953305,9.7561,,,,,,,,,,,,,,,,,15.898472802078171,8.37266913268056,8.572795820180561,8.18,0.15
,617,2457665.387567501,5.209408189899459,0.1398938710094166,22.062353006170355,5.6977245129690015,6.21551503243487,8.3522,,,,,,,,,,,,,,,,,16.377154320913384,8.631261479591847,8.831388167091848,8.18,0.15
,617,2457323.5025471607,5.209408189899459,0.1398938710094166,22.062353006170355,5.405486234645998,5.160189001386518,10.5725,,,,,,,,,,,,,,,,,15.986972802364571,8.759470929953887,8.959597617453886,8.18,0.15
,617,2457292.519984878,5.209408189899459,0.1398938710094166,22.062353006170355,5.375025127286,5.59449918580834,10.3346,,,,,,,,,,,,,,,,,16.22399034234169,8.833281773234244,9.033408460734245,8.18,0.15
,617,2457751.7631953917,5.209408189899459,0.1398938710094166,22.062353006170355,5.755727916891,5.081564178213402,7.7455,,,,,,,,,,,,,,,,,16.07284630805537,8.74235795391019,8.942484641410191,8.18,0.15
,617,2457737.8340397747,5.209408189899459,0.1398938710094166,22.062353006170355,5.746867409482,5.23829984786347,8.941,,,,,,,,,,,,,,,,,16.15478480625148,8.761677147533769,8.961803835033773,8.18,0.15
,617,2457513.8015414085,5.211550030891116,0.1397053849940519,22.06018152789773,5.579374527453999,5.93414584728644,9.5202,,,,,,,,,,,,,,,,,16.307189599908,8.707470943009465,8.892657835509462,8.23,0.15
,617,2457486.632928003,5.211550030891116,0.1397053849940519,22.06018152789773,5.556126879184999,5.520524128211808,10.4627,,,,,,,,,,,,,,,,,16.08137493623338,8.64761260098173,8.83279949348173,8.23,0.15
,617,2457323.50254716,5.211550030891116,0.1397053849940519,22.06018152789773,5.405486234893,5.16018900105207,10.5725,,,,,,,,,,,,,,,,,15.913433591050241,8.685931718681072,8.871118611181071,8.23,0.15
,617,2457292.593937313,5.211550030891116,0.1397053849940519,22.06018152789773,5.375098428856,5.593497703964161,10.3377,,,,,,,,,,,,,,,,,15.990106600965605,8.599757172906331,8.78494406540633,8.23,0.15
,617,2457130.2587168617,5.211550030891116,0.1397053849940519,22.06018152789773,5.208834572925,5.755932867322088,8.9343,,,,,,,,,,,,,,,,,16.005085128054635,8.620803703339632,8.80599059583963,8.23,0.15
,617,2457842.417995845,5.209408189899459,0.1398938710094166,22.062353006170355,5.8085642655130005,5.22304998624457,8.5383,,,,,,,,,,,,,,,,,16.242112304949345,8.832147400381158,9.03227408788116,8.18,0.15
,617,2457111.0798438787,5.211550030891116,0.1397053849940519,22.06018152789773,5.188678112141,5.47910125703838,10.3818,,,,,,,,,,,,,,,,,15.879596894241883,8.610766614675317,8.795953507175318,8.23,0.15
,617,2457111.0055524157,5.211550030891116,0.1397053849940519,22.06018152789773,5.188599907505,5.47795306387977,10.3861,,,,,,,,,,,,,,,,,15.870535419054216,8.602192967085799,8.787379859585798,8.23,0.15
,617,2457078.5249234117,5.211550030891116,0.1397053849940519,22.06018152789773,5.154334315648001,4.94811959106564,11.107,,,,,,,,,,,,,,,,,15.62003704942029,8.586973192030023,8.772160084530022,8.23,0.15
,617,2457111.079843879,5.209408189899459,0.1398938710094166,22.062353006170355,5.188678111939,5.47910125613151,10.3818,,,,,,,,,,,,,,,,,16.42212227741967,9.153291998297052,9.35341868579705,8.18,0.15
,617,2457665.3135604267,5.209408189899459,0.1398938710094166,22.062353006170355,5.697671746117001,6.2163619922307305,8.3467,,,,,,,,,,,,,,,,,16.380952027013947,8.634783419425592,8.83491010692559,8.18,0.15
,617,2457292.519984878,5.211550030891116,0.1397053849940519,22.06018152789773,5.3750251275370005,5.59449918525957,10.3346,,,,,,,,,,,,,,,,,15.98943586122679,8.598727292230944,8.783914184730943,8.23,0.15
