,id,H,error_H,G,error_G,R,observations
0,588,7.9426796196644975,0.9612828716668469,-0.27924009337471556,0.5950238596534092,0.19675222527992053,18
1,624,6.813658797455472,0.7239678183723366,-0.5094254066382284,0.5702316885954448,0.2622482281630778,26
2,659,8.538537396185932,0.4679396695626465,-0.03759768421423068,0.2255664201939085,0.24790150192360527,42
3,911,7.775947468150536,0.45431496136477506,-0.2894023797888062,0.2830405662439239,0.5220494088032186,18
4,1143,8.146287365490574,0.6885291540898248,-0.07199183424888907,0.32531318032729173,0.36083348217782174,13
5,1404,9.144040625983767,0.9093666318542907,-0.14591303990420215,0.479476406027924,0.32278852380971945,10
6,1437,,-4.695750316316201,-7.060807144597189,31.628786717378137,0.11268432794042871,26
7,1583,8.616941943396009,0.3457663869308527,0.2713518107389126,0.13701022246284095,0.38074213207121643,29
8,1647,10.509300382290473,0.6104069521738237,0.09035705289367608,0.2518513091825345,0.20738538613621527,28
9,1749,9.720147243251384,0.7635073765577551,0.46679772738364805,0.3392142115314986,0.2742984318337981,9
10,1868,10.043666557763856,2.8579396025714128,0.8401180177826706,1.943175533510173,0.01051746015810262,11
11,2146,10.216050859859763,0.7764584513814952,0.3172527468049064,0.308906741497937,0.21607648438865523,13
12,2148,11.938938414439344,1.3147480934176488,2.1532985631178043,2.3821640053593756,0.006325015052075056,12
13,2260,9.032297458859894,1.0733521636904966,-0.15530988101843757,0.5611466542325598,0.2828251148074282,9
14,2456,10.030804593318782,3.4780733577039356,1.024404288160316,2.888673315445819,0.00652304670019721,10
15,2759,10.517279744978921,1.223171062180053,0.8096277055735102,0.8084562154273879,0.045945228169906316,16
16,2797,8.64758071614725,0.5085632090048866,-0.12331533215586751,0.25596881200706517,0.3543347102257539,24
17,2920,8.748528914900906,2.2163750344461732,-0.06681792127056901,1.0235887310831995,0.06819051103708607,10
18,3063,8.546190147735658,0.14476778024868864,0.09502083033777149,0.0592193377914622,0.8426377275270172,24
19,3391,11.874937969976173,5.823731448198141,4.270578879680373,21.750586183609602,0.014591739585465668,14
20,3540,8.887324097788001,0.3382999530052171,-0.4039769792549478,0.23724181643471406,0.7163309736755697,16
21,3548,9.546018110601386,0.3080617269271743,-0.19017240026053844,0.17372081918179633,0.6492544014006771,21
22,3564,9.046031628429487,0.430008433313586,-0.27845819242080205,0.25950156893596743,0.6011495448203937,15
23,3596,9.342485156909577,0.2903618939420526,0.5847982498345736,0.14691331879397793,0.509608132726737,16
24,3709,8.693249268224129,0.3739472891058642,-0.25659293307615505,0.226807703091933,0.4975139139916429,28
25,3793,8.9919129911476,0.32586651354306456,0.5805204041217348,0.16387647788557255,0.3996166646765116,19
26,3794,11.410106472483964,1.4069891820623361,1.8480237389986915,2.1504607860190648,0.0013898578204067924,12
27,4007,10.905841814866275,1.011137796046443,0.7763286612482782,0.6405286832955936,0.047303938726415584,19
28,4035,10.159353073359762,1.768647364299179,1.0988228464695018,1.5750795608380967,0.02083416437861263,9
