Name,id,jd,a_orb,e_orb,i_orb,Delta,R,alpha,umag,umag_err,umag_red,gmag,gmag_err,gmag_red,rmag,rmag_err,rmag_red,imag,imag_err,imag_red,zmag,zmag_err,zmag_red,Vmag,gaia_mag,gaia_mag_red,v,H,G
,884,2457671.6524036624,5.198112546186912,0.1254274302668689,8.905546827325173,5.728068528672,6.09356039219,9.1193,,,,,,,,,,,,,,,,,16.78633691320497,9.071940289269703,9.272066976769704,8.69,0.15
,884,2457484.045866248,5.190181313635748,0.124554966278264,8.913636160360706,5.788117145359,5.783005142779782,10.0128,,,,,,,,,,,,,,,,,16.799877783589928,9.176423330017402,9.3616102225174,8.69,0.15
,884,2457273.2786908,5.190181313635748,0.124554966278264,8.913636160360706,5.811535903351,6.27832217913533,8.5794,,,,,,,,,,,,,,,,,17.23114920076248,9.420476583566048,9.605663476066047,8.69,0.15
,884,2457273.102655465,5.190181313635748,0.124554966278264,8.913636160360706,5.811535574155999,6.280758968094231,8.5662,,,,,,,,,,,,,,,,,16.972773064858742,9.161257926208318,9.346444818708315,8.69,0.15
,884,2457128.5761098643,5.190181313635748,0.124554966278264,8.913636160360706,5.800064387481,6.33153577189429,8.1591,,,,,,,,,,,,,,,,,16.94700943452046,9.122300036230747,9.307486928730746,8.69,0.15
,884,2457128.5019396767,5.190181313635748,0.124554966278264,8.913636160360706,5.800052772622,6.3305385407887815,8.1653,,,,,,,,,,,,,,,,,17.238419945546223,9.414056934439039,9.599243826939038,8.69,0.15
,884,2457108.999936816,5.190181313635748,0.124554966278264,8.913636160360706,5.796795784755,6.04499772414582,9.4564,,,,,,,,,,,,,,,,,16.938722444163727,9.215801731280157,9.400988623780156,8.69,0.15
,884,2456910.3391003357,5.190181313635748,0.124554966278264,8.913636160360706,5.740902068094,5.77305214005896,10.1278,,,,,,,,,,,,,,,,,17.136976264445366,9.535048172616227,9.720235065116226,8.69,0.15
,884,2457273.1026554643,5.198112546186912,0.1254274302668689,8.905546827325173,5.811535642230999,6.28075903363219,8.5662,,,,,,,,,,,,,,,,,16.828552765498586,9.017037578753325,9.217164266253326,8.69,0.15
,884,2457655.573624893,5.198112546186912,0.1254274302668689,8.905546827325173,5.734615382044,6.32190069190206,7.8522,,,,,,,,,,,,,,,,,16.348484154391347,8.5517243309217,8.751851018421702,8.69,0.15
,884,2457456.805346117,5.198112546186912,0.1254274302668689,8.905546827325173,5.793803848352,5.3530183693913225,9.2656,,,,,,,,,,,,,,,,,16.923437914424493,9.465625306402377,9.665751993902381,8.69,0.15
,884,2457325.3384775226,5.198112546186912,0.1254274302668689,8.905546827325173,5.810172457486,5.46233694854168,9.5813,,,,,,,,,,,,,,,,,16.982220970776037,9.47438342211358,9.67451010961358,8.69,0.15
,884,2457655.397474175,5.198112546186912,0.1254274302668689,8.905546827325173,5.734685683354,6.324208112607652,7.836,,,,,,,,,,,,,,,,,16.983496128394474,9.18591726702166,9.386043954521659,8.69,0.15
,884,2457836.97386423,5.198112546186912,0.1254274302668689,8.905546827325173,5.646289748358999,5.0415887756594016,8.6415,,,,,,,,,,,,,,,,,16.764691116378017,9.493038217198428,9.693164904698431,8.69,0.15
,884,2457456.879296425,5.198112546186912,0.1254274302668689,8.905546827325173,5.793789468852,5.35412680706645,9.2705,,,,,,,,,,,,,,,,,17.209342937848998,9.751086123715114,9.951212811215116,8.69,0.15
,884,2457836.899912572,5.198112546186912,0.1254274302668689,8.905546827325173,5.646332027967,5.04062881409467,8.6338,,,,,,,,,,,,,,,,,16.63459728662572,9.363341633711231,9.56346832121123,8.69,0.15
,884,2457671.578392696,5.198112546186912,0.1254274302668689,8.905546827325173,5.728099251131001,6.09468313825161,9.1145,,,,,,,,,,,,,,,,,16.799668341863793,9.08486001165069,9.284986699150693,8.69,0.15
,884,2457273.27874704,5.198112546186912,0.1254274302668689,8.905546827325173,5.8115359715,6.27832146550243,8.5794,,,,,,,,,,,,,,,,,16.550084862361572,8.739412466524348,8.939539154024349,8.69,0.15
,884,2457509.041048177,5.190181313635748,0.124554966278264,8.913636160360706,5.782213532803,6.165549664953152,9.0535,,,,,,,,,,,,,,,,,17.047459139057633,9.287129507820834,9.472316400320834,8.69,0.15
,884,2457484.045866249,5.198112546186912,0.1254274302668689,8.905546827325173,5.788117178317,5.7830051846247015,10.0128,,,,,,,,,,,,,,,,,17.00515689371685,9.381702412067352,9.58182909956735,8.69,0.15
,884,2457509.1152759357,5.190181313635748,0.124554966278264,8.913636160360706,5.78219502708,6.166607201299112,9.0488,,,,,,,,,,,,,,,,,17.0485660537176,9.28787094569603,9.473057838196027,8.69,0.15
Priamus,884,2453354.83621,5.198209973040978,0.1254323782900563,8.905419396707883,4.968,5.709,6.97,18.54,0.03,11.276291849123965,17.07,0.02,9.806291849123967,16.47,0.01,9.206291849123962,16.27,0.02,9.006291849123965,16.12,0.02,8.856291849123966,16.72,,,9.468291849123963,8.81,0.15
Telamon,1749,2452345.73247,5.141574387836829,0.1092495735303225,6.098603331612071,3.944,4.92,2.44,18.08,0.03,11.640489954817333,16.61,0.02,10.170489954817329,16.03,0.01,9.590489954817333,15.78,0.01,9.340489954817329,15.65,0.02,9.21048995481733,16.26,,,9.843756621483998,9.2,0.15
Telamon,1749,2452338.71709,5.141574387836829,0.1092495735303225,6.098603331612071,3.924,4.914,0.85,17.9,0.02,11.474179245740135,16.5,0.02,10.074179245740137,15.88,0.02,9.454179245740137,15.71,0.02,9.284179245740138,15.53,0.02,9.104179245740132,16.14,,,9.724912579073473,9.2,0.15
