Number,jd,gaia_mag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,gaia_mag_red,V
1172,2457752.2934980453,15.859985435193586,5.228515681835457,0.1066128423630389,16.65329349970303,5.728405169908,4.99876576137736,7.2336,8.3,0.15,8.575502862603054,8.775629550103055
1172,2457753.5444374853,15.874934298295875,5.228515681835457,0.1066128423630389,16.65329349970303,5.728113707432,4.9852255235709295,7.0858,8.3,0.15,8.59645209660949,8.79657878410949
1172,2457751.617041931,16.851336122537973,5.228515681835457,0.1066128423630389,16.65329349970303,5.728562192384,5.00622726243813,7.3123,8.3,0.15,9.563555155930972,9.763681843430971
1172,2457750.542332197,15.804718768716047,5.228515681835457,0.1066128423630389,16.65329349970303,5.7288108101100015,5.01827898851171,7.4356,8.3,0.15,8.511622357525718,8.71174904502572
1172,2457752.117389776,15.868209764276884,5.228515681835457,0.1066128423630389,16.65329349970303,5.728446088831,5.00069894589499,7.2542,8.3,0.15,8.58287206424072,8.78299875174072
1172,2457751.5429760045,15.974847438427846,5.228515681835457,0.1066128423630389,16.65329349970303,5.728579359859999,5.00705009933776,7.3209,8.3,0.15,8.686703084632526,8.886829772132527
1172,2457752.3675641147,15.973192478227935,5.228515681835457,0.1066128423630389,16.65329349970303,5.728387952223001,4.99795469327307,7.2249,8.3,0.15,8.689068790332989,8.88919547783299
1172,2457752.867914734,16.22466993989649,5.228515681835457,0.1066128423630389,16.65329349970303,5.728271509103,4.992506320583719,7.1661,8.3,0.15,8.942958850492936,9.143085537992935
1172,2457297.1121702343,15.963808624942171,5.228515681835457,0.1066128423630389,16.65329349970303,5.738590807751,5.923769775190902,9.7744,8.3,0.15,8.306791475767952,8.506918163267953
1172,2457751.116693506,16.779905922158992,5.228515681835457,0.1066128423630389,16.65329349970303,5.728678070090001,5.0118082329654,7.37,8.3,0.15,9.489661609911648,9.689788297411653
1172,2457835.137379056,16.599432584932906,5.228515681835457,0.1066128423630389,16.65329349970303,5.706078260086,5.029187110315281,7.9582,8.3,0.15,9.310254996930693,9.510381684430694
1172,2457887.7000785084,15.919165621241927,5.228515681835457,0.1066128423630389,16.65329349970303,5.688778548985,5.763285407313581,10.2035,8.3,0.15,8.340719845732806,8.540846533232807
1172,2457752.54367274,15.949117865758215,5.228515681835457,0.1066128423630389,16.65329349970303,5.728346993454,4.996030904255151,7.2043,8.3,0.15,8.665845698013365,8.865972385513368
1172,2457076.083099454,15.914045024225445,5.228515681835457,0.1066128423630389,16.65329349970303,5.675004631003,5.3248183032278,9.7569,8.3,0.15,8.512689957419473,8.712816644919476
1172,2457659.157486577,15.91493117109442,5.228515681835457,0.1066128423630389,16.65329349970303,5.74611254076,6.34417044068094,7.7448,8.3,0.15,8.106186322429982,8.306313009929982
1404,2457252.673653056,17.53732949774411,5.285409064806477,0.1138431169970072,18.03051463826845,5.894206363612,6.46358587609263,7.8879,9.36,0.15,9.632835196457432,9.832961883957434
1404,2457235.7425391357,17.642844223034416,5.285409064806477,0.1138431169970072,18.03051463826845,5.892063273401001,6.24057782808182,9.1211,9.36,0.15,9.815383194286301,10.0155098817863
1404,2457018.003860799,17.70322391067457,5.285409064806477,0.1138431169970072,18.03051463826845,5.840264922824,5.99049376139409,9.5298,9.36,0.15,9.983748070659633,10.183874758159632
1404,2457017.9298553667,17.554377107353258,5.285409064806477,0.1138431169970072,18.03051463826845,5.840239821988,5.99163439919196,9.5272,9.36,0.15,9.834497173805437,10.034623861305436
1404,2457398.473094083,17.643602561748406,5.285409064806477,0.1138431169970072,18.03051463826845,5.901220275528001,6.20071591642815,8.984,9.36,0.15,9.826684258454831,10.02681094595483
1404,2457068.491164527,17.245096120997008,5.285409064806477,0.1138431169970072,18.03051463826845,5.856223324608999,5.22991677720747,8.0474,9.36,0.15,9.814534080647585,10.014660768147587
1404,2457579.228422653,17.633251774132233,5.285409064806477,0.1138431169970072,18.03051463826845,5.881371791294,5.498822050683191,9.6129,9.36,0.15,10.084510275252754,10.284636962752757
1404,2457199.691902835,17.09005482557756,5.285409064806477,0.1138431169970072,18.03051463826845,5.886584143444001,5.69414812083974,9.997,9.36,0.15,9.463594243424843,9.663720930924846
1404,2457252.7476590592,17.639761744668085,5.285409064806477,0.1138431169970072,18.03051463826845,5.8942151264380005,6.46448217792721,7.8816,9.36,0.15,9.734963119101822,9.935089806601825
1404,2457235.9188779453,17.43573172076951,5.285409064806477,0.1138431169970072,18.03051463826845,5.8920870126740015,6.243063600967949,9.1106,9.36,0.15,9.607397165429614,9.807523852929613
1437,2457125.966872896,16.215651354248614,5.2158365751062234,0.045640794418770766,20.47192301727763,5.383555004354,4.61983547209176,7.6394,8.26,0.15,9.237173035318019,9.437299722818024
1437,2457457.765996661,16.261331294522794,5.2158365751062234,0.045640794418770766,20.47192301727763,5.421633154988,5.54500322098907,10.411,8.26,0.15,8.871171638293044,9.071298325793043
1437,2457042.2581225717,16.18030634970111,5.2158365751062234,0.045640794418770766,20.47192301727763,5.3668863967150005,5.750230571925041,9.4726,8.26,0.15,8.733268040722525,8.933394728222526
