Name,Number,jd,umag,umag_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,Vmag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,umag_red,gmag_red,rmag_red,imag_red,zmag_red,V
2001_CT13,42168,2452757.69592,20.66,0.07,19.2,0.02,18.69,0.02,18.55,0.02,18.46,0.03,18.9,5.1781410793015255,0.057928675661312386,13.98757586130559,4.2780000000000005,5.187,5.26,10.9,0.15,13.929214858854527,12.469214858854528,11.95921485885453,11.81921485885453,11.72921485885453,12.18191485885453
2001_CP25,42179,2452345.7820900003,21.54,0.16,20.01,0.03,19.57,0.02,19.35,0.02,19.27,0.04,19.74,5.255969260016967,0.0559616430964888,6.611194742008097,4.44,5.4239999999999995,1.63,11.5,0.15,14.631486745131864,13.101486745131867,12.661486745131867,12.441486745131867,12.361486745131867,12.8536200784652
2001_SQ51,42277,2453766.8982,20.79,0.06,19.36,0.02,18.71,0.02,18.41,0.02,18.32,0.03,18.98,5.146832936843519,0.04697131797771255,6.1378536470394085,3.971,4.902,4.2,11.8,0.15,14.343634030100286,12.913634030100287,12.263634030100286,11.96363403010029,11.873634030100286,12.547467363433617
2002_CQ134,42367,2452757.87209,20.32,0.08,18.79,0.02,18.15,0.02,17.91,0.02,17.77,0.12,18.41,5.223399335987608,0.04325367347207877,29.040476019251344,4.08,5.0280000000000005,4.3,11.1,0.15,13.759722839481,12.229722839481001,11.589722839481,11.349722839481,11.209722839481001,11.869189506147663
Andraimon,42403,2452338.75248,21.49,0.14,20.12,0.02,19.61,0.02,19.38,0.02,19.25,0.05,19.81,5.2553929600046745,0.112500771572095,8.14698705963386,4.627,5.609,1.58,12.5,0.15,14.41907530245293,13.049075302452932,12.539075302452927,12.309075302452927,12.179075302452931,12.761775302452927
1996_RJ28,42554,2453528.69734,20.55,0.13,19.25,0.02,18.61,0.02,18.39,0.02,18.27,0.03,18.87,5.127535568345793,0.028407618714301988,17.51959737932674,4.168,5.093999999999999,5.17,11.5,0.15,13.91506674540468,12.615066745404679,11.975066745404675,11.75506674540468,11.63506674540468,12.254533412071345
2000_AL113,43212,2451960.86802,20.72,0.07,19.29,0.02,18.87,0.01,18.73,0.02,18.63,0.04,19.04,5.2875554887128695,0.058939192359931024,6.475029071554125,3.984,4.965,1.61,12.3,0.15,14.238807087084696,12.808807087084693,12.388807087084697,12.248807087084696,12.148807087084696,12.572207087084696
Iphiklos,43706,2451962.88271,21.58,0.15,19.81,0.02,19.31,0.02,19.12,0.02,18.93,0.05,19.51,5.178038838618378,0.08904271340301217,13.46052738255208,4.313,5.292000000000002,1.76,12.7,0.15,14.788003531692922,13.018003531692926,12.518003531692926,12.328003531692927,12.138003531692927,12.73633686502626
2000_QQ116,45822,2453439.77729,21.9,0.15,20.58,0.03,20.07,0.04,19.82,0.03,19.63,0.06,20.27,5.243392609951463,0.1906323625171569,7.301765068894968,5.092,6.01,3.93,12.1,0.15,14.471185665078213,13.151185665078213,12.641185665078215,12.391185665078215,12.201185665078215,12.863885665078216
2000_QZ73,47955,2453354.81425,21.73,0.16,20.16,0.02,19.56,0.02,19.26,0.02,19.14,0.05,19.8,5.102891698401368,0.06889889718143377,3.2399992509227165,4.615,5.426,6.38,11.9,0.15,14.73674252606246,13.16674252606246,12.56674252606246,12.266742526062462,12.146742526062459,12.82874252606246
2000_QN116,47957,2453387.87043,21.12,0.08,19.7,0.02,19.16,0.02,18.88,0.02,18.82,0.04,19.38,5.2732253626157775,0.08548122646594385,7.579906342716598,4.78,5.757999999999999,1.25,11.4,0.15,13.921502214229093,12.50150221422909,11.96150221422909,11.68150221422909,11.621502214229093,12.19730221422909
2000_QP168,47959,2453354.82674,21.66,0.15,20.44,0.03,19.86,0.02,19.65,0.03,19.54,0.12,20.09,5.111895845606472,0.0681956694476186,6.025121920312783,4.651,5.432,6.84,11.8,0.15,14.647469496080193,13.427469496080196,12.847469496080187,12.637469496080186,12.527469496080187,13.100736162746855
2000_QP168,47959,2453350.91579,22.02,0.14,20.52,0.03,20.0,0.02,19.72,0.03,19.65,0.06,20.2,5.111895845606472,0.0681956694476186,6.025121920312783,4.694,5.431,7.41,11.8,0.15,14.987885559723995,13.487885559723995,12.967885559723994,12.687885559723993,12.617885559723993,13.194952226390662
2000_RU69,47962,2453387.98305,21.85,0.17,20.05,0.03,19.43,0.02,19.24,0.03,18.99,0.05,19.68,5.273714025738382,0.09122470487471054,20.09646841051103,4.726,5.489,6.99,11.5,0.15,14.780065259610176,12.980065259610177,12.360065259610176,12.170065259610169,11.920065259610169,12.630798592943508
2000_SL298,47967,2453387.87035,21.27,0.11,19.84,0.02,19.27,0.02,19.09,0.02,18.98,0.04,19.5,5.223406467355686,0.1161529902737668,6.447649692447435,4.586,5.561,1.49,11.4,0.15,14.237065272645895,12.807065272645895,12.237065272645895,12.057065272645895,11.947065272645895,12.485965272645895
2000_TG64,47969,2452288.63286,21.49,0.14,19.84,0.02,19.22,0.02,18.99,0.02,18.85,0.05,19.47,5.286968650141333,0.05652908475710616,16.914933436827322,4.595,4.967,10.94,11.8,0.15,14.698101621413233,13.048101621413233,12.428101621413234,12.198101621413233,12.058101621413233,12.698834954746564
2000_TG64,47969,2453389.97176,21.26,0.12,19.78,0.02,19.23,0.02,18.98,0.02,18.76,0.05,19.45,5.286968650141333,0.05652908475710616,16.914933436827322,4.513999999999999,5.3770000000000024,5.5,11.8,0.15,14.334492043905687,12.854492043905687,12.304492043905684,12.054492043905684,11.834492043905687,12.544658710572353
2000_TG64,47969,2452171.90448,21.12,0.11,19.55,0.03,18.93,0.02,18.72,0.02,18.55,0.04,19.18,5.286968650141333,0.05652908475710616,16.914933436827322,4.328,4.9510000000000005,9.76,11.8,0.15,14.465099107850016,12.895099107850015,12.275099107850016,12.065099107850013,11.895099107850015,12.545832441183348
2000_TG64,47969,2452283.6203,20.98,0.11,19.62,0.06,18.99,0.03,18.76,0.02,18.47,0.05,19.25,5.286968650141333,0.05652908475710616,16.914933436827322,4.522,4.966,10.63,11.8,0.15,14.223313633860569,12.863313633860571,12.233313633860565,12.003313633860571,11.713313633860563,12.508413633860568
2000_TG64,47969,2452173.88062,21.22,0.12,19.69,0.03,19.12,0.02,18.86,0.03,18.73,0.05,19.35,5.286968650141333,0.05652908475710616,16.914933436827322,4.305,4.9510000000000005,9.55,11.8,0.15,14.576669589394212,13.046669589394211,12.476669589394211,12.216669589394211,12.086669589394212,12.725569589394212
2001_SY345,48249,2452557.87315,21.25,0.12,19.69,0.06,19.02,0.02,18.84,0.02,18.73,0.05,19.3,5.1025056898580345,0.015049654001732018,7.542544883380492,4.118,5.102,2.09,11.9,0.15,14.63786601722108,13.077866017221082,12.407866017221082,12.227866017221082,12.11786601722108,12.700432683887751
2001_SY345,48249,2452558.88533,20.82,0.08,19.35,0.03,18.75,0.01,18.52,0.01,18.35,0.03,18.99,5.1025056898580345,0.015049654001732018,7.542544883380492,4.117,5.102,1.99,11.9,0.15,14.208393393643716,12.738393393643715,12.138393393643716,11.908393393643713,11.738393393643715,12.400393393643716
2001_SY345,48249,2452551.85481,21.34,0.13,19.8,0.04,19.22,0.03,19.05,0.03,18.93,0.12,19.46,5.1025056898580345,0.015049654001732018,7.542544883380492,4.131,5.102,2.97,11.9,0.15,14.721021753748214,13.181021753748212,12.601021753748212,12.431021753748212,12.311021753748214,12.854288420414875
2000_QJ12,51340,2453678.00163,21.93,0.16,20.45,0.03,19.88,0.03,19.64,0.03,19.51,0.06,20.11,5.1349952494683135,0.06732720571096833,2.764318849586564,5.443,5.426,10.47,11.8,0.15,14.578409381286745,13.098409381286745,12.528409381286744,12.288409381286746,12.158409381286747,12.777309381286745
2000_QA127,51344,2453389.91655,21.15,0.09,19.63,0.02,19.05,0.02,18.85,0.02,18.75,0.03,19.29,5.179325750347868,0.047673729661780316,4.384031791833402,4.37,5.334,2.37,11.8,0.15,14.312327758378599,12.792327758378606,12.212327758378606,12.012327758378605,11.912327758378606,12.465594425045273
2000_QH137,51345,2451819.76494,20.98,0.09,19.43,0.02,18.8,0.01,18.56,0.01,18.43,0.03,19.05,5.219142305056464,0.1496063510530261,13.92912853690652,4.17,4.971,7.55,12.0,0.15,14.397100909436213,12.847100909436215,12.217100909436214,11.977100909436214,11.847100909436215,12.492200909436214
2000_QX158,51346,2453350.88543,21.65,0.11,20.11,0.02,19.47,0.01,19.22,0.02,19.17,0.05,19.73,5.1275977789868685,0.030669781817197837,8.990407239288738,4.479,5.297999999999999,6.44,11.8,0.15,14.773534917970498,13.233534917970498,12.593534917970498,12.343534917970498,12.2935349179705,12.873001584637166
2000_QX158,51346,2451819.78225,21.07,0.12,19.64,0.02,19.08,0.02,18.82,0.02,18.68,0.04,19.3,5.1275977789868685,0.030669781817197837,8.990407239288738,4.189,5.047,6.43,11.8,0.15,14.444281674525476,13.014281674525476,12.454281674525475,12.194281674525476,12.054281674525473,12.698815007858805
2000_RX25,51354,2453439.66083,21.16,0.11,19.63,0.02,19.0,0.01,18.73,0.02,18.64,0.03,19.26,5.150870570827934,0.1083088919150231,9.89289527801552,4.914,5.662999999999999,7.09,11.1,0.15,13.937591431147046,12.407591431147045,11.777591431147046,11.507591431147047,11.417591431147047,12.052691431147046
2000_RM88,51357,2453387.85548,21.27,0.09,19.95,0.02,19.3,0.01,19.16,0.02,18.99,0.04,19.57,5.188737411845909,0.07179336449736044,9.023177349629664,4.606,5.58,1.55,12.1,0.15,14.220209337171044,12.900209337171045,12.250209337171047,12.110209337171044,11.940209337171044,12.534042670504382
2000_SY247,51362,2453766.88022,21.37,0.11,19.95,0.03,19.44,0.03,19.26,0.04,19.15,0.05,19.65,5.2026576555421125,0.06207109810911642,5.171701718429918,4.478,5.435,2.71,12.1,0.15,14.438581811673375,13.018581811673375,12.508581811673373,12.328581811673374,12.218581811673374,12.731281811673375
2000_SU333,51364,2453405.89051,20.7,0.06,19.17,0.03,18.65,0.03,18.46,0.02,18.44,0.03,18.86,5.275617100675712,0.0987553393092771,14.17132282784677,3.995,4.901,5.03,11.2,0.15,14.240992569186801,12.710992569186802,12.190992569186802,12.000992569186804,11.980992569186801,12.418059235853468
2000_SU333,51364,2452261.71764,20.64,0.08,19.05,0.03,18.39,0.02,18.24,0.01,18.19,0.03,18.66,5.275617100675712,0.0987553393092771,14.17132282784677,4.215,4.8,10.1,11.2,0.15,14.109805918318255,12.51980591831826,11.859805918318255,11.709805918318255,11.65980591831826,12.148005918318255
2000_SU333,51364,2452173.84347,20.59,0.08,19.18,0.02,18.62,0.02,18.44,0.02,18.3,0.04,18.85,5.275617100675712,0.0987553393092771,14.17132282784677,4.059,4.857,7.87,11.2,0.15,14.116064226048396,12.706064226048396,12.146064226048393,11.966064226048395,11.826064226048393,12.390597559381726
2001_AT33,51378,2451962.59845,21.06,0.09,19.48,0.02,18.87,0.02,18.63,0.01,18.47,0.03,19.12,5.145888027542613,0.05191867993414392,33.685585256973674,4.273,5.0169999999999995,8.07,11.1,0.15,14.40411503077526,12.82411503077526,12.214115030775261,11.97411503077526,11.81411503077526,12.480481697441931
2001_QK134,51935,2453405.66869,20.8,0.08,19.37,0.01,18.71,0.01,18.45,0.01,18.27,0.03,18.98,5.2000161723044025,0.0919685964977267,13.020823459392073,3.9730000000000003,4.919,3.61,11.4,0.15,14.345023061926527,12.91502306192653,12.25502306192653,11.995023061926528,11.815023061926524,12.543223061926527
2001_QK134,51935,2451819.75159,21.61,0.17,19.86,0.03,19.25,0.02,19.01,0.02,18.79,0.04,19.5,5.2000161723044025,0.0919685964977267,13.020823459392073,4.493,5.244,7.82,11.4,0.15,14.749004491944639,12.999004491944639,12.38900449194464,12.14900449194464,11.92900449194464,12.655371158611304
2001_TJ58,51994,2451813.7843,21.47,0.16,19.91,0.03,19.3,0.02,19.04,0.02,18.9,0.06,19.55,5.227540628642447,0.07804766598277409,12.32171629742399,4.57,5.545,2.65,12.6,0.15,14.450911247224855,12.890911247224855,12.280911247224855,12.020911247224856,11.880911247224851,12.547277913891525
2001_TJ58,51994,2451792.91165,21.43,0.16,19.93,0.03,19.4,0.02,19.14,0.03,18.98,0.06,19.61,5.227540628642447,0.07804766598277409,12.32171629742399,4.563,5.5520000000000005,2.21,12.6,0.15,14.411500368902702,12.911500368902702,12.3815003689027,12.121500368902705,11.961500368902705,12.612933702236035
1988_RQ10,52273,2452170.8985900003,21.41,0.1,19.77,0.02,19.16,0.02,18.88,0.02,18.69,0.04,19.41,5.206759350437143,0.08744360135262477,11.728421210713352,3.935,4.81,6.5,12.2,0.15,15.024550934655425,13.384550934655426,12.774550934655425,12.494550934655425,12.304550934655426,13.040917601322091
1988_RS12,52275,2453405.69618,21.91,0.21,20.48,0.03,19.82,0.02,19.59,0.02,19.48,0.06,20.09,5.2244922823209645,0.06418284377862615,3.610803959693702,4.262,5.24,1.56,12.8,0.15,15.165276338190456,13.735276338190452,13.075276338190452,12.845276338190455,12.735276338190452,13.363476338190456
1996_GH12,52511,2452224.80399,21.33,0.12,19.93,0.02,19.29,0.02,19.01,0.02,18.84,0.04,19.55,5.246044010119482,0.06606031169656362,9.403412026819188,4.643,5.579,3.64,12.0,0.15,14.263224774617285,12.863224774617288,12.223224774617286,11.943224774617288,11.773224774617285,12.502691441283956
1996_GH12,52511,2453354.82967,21.82,0.16,20.24,0.03,19.55,0.02,19.3,0.02,19.25,0.06,19.84,5.246044010119482,0.06606031169656362,9.403412026819188,4.5280000000000005,5.296,7.21,12.0,0.15,14.920728026940708,13.340728026940706,12.650728026940708,12.400728026940708,12.350728026940708,12.952028026940708
1996_GH12,52511,2452231.78732,22.09,0.2,20.46,0.03,19.77,0.02,19.48,0.02,19.46,0.06,20.05,5.246044010119482,0.06606031169656362,9.403412026819188,4.686,5.58,4.74,12.0,0.15,15.002817584007387,13.372817584007388,12.682817584007385,12.392817584007387,12.372817584007388,12.984117584007384
1998_MW41,52767,2452261.72211,21.23,0.1,19.85,0.02,19.25,0.02,19.04,0.02,18.95,0.04,19.5,5.2904199455389085,0.02528626587941836,12.80650887908067,4.7410000000000005,5.3389999999999995,8.91,11.6,0.15,14.213350619115673,12.833350619115677,12.233350619115672,12.023350619115671,11.933350619115672,12.495350619115676
1998_MW41,52767,2453351.91462,21.26,0.12,19.87,0.02,19.35,0.02,19.07,0.02,18.94,0.07,19.56,5.2904199455389085,0.02528626587941836,12.80650887908067,4.758,5.441,7.99,11.6,0.15,14.194484181964242,12.80448418196424,12.284484181964242,12.00448418196424,11.874484181964242,12.511550848630907
1998_MW41,52767,2453350.97103,21.32,0.1,19.96,0.02,19.33,0.02,19.13,0.02,18.98,0.04,19.59,5.2904199455389085,0.02528626587941836,12.80650887908067,4.77,5.441,8.11,11.6,0.15,14.249014475269911,12.889014475269908,12.259014475269904,12.059014475269905,11.909014475269911,12.534114475269904
1998_MW41,52767,2452224.8111900003,21.15,0.1,19.73,0.03,19.14,0.03,18.94,0.03,18.79,0.03,19.38,5.2904199455389085,0.02528626587941836,12.80650887908067,4.396,5.332000000000002,3.81,11.6,0.15,14.300260877533624,12.880260877533624,12.290260877533624,12.090260877533627,11.940260877533627,12.54789421086696
1998_MW41,52767,2452234.76455,21.23,0.13,19.85,0.03,19.23,0.02,19.02,0.02,18.92,0.04,19.48,5.2904199455389085,0.02528626587941836,12.80650887908067,4.456,5.334,5.32,11.6,0.15,14.350009032402351,12.970009032402348,12.350009032402351,12.140009032402348,12.040009032402349,12.620742365735685
1998_MW41,52767,2452282.65658,21.63,0.15,20.29,0.03,19.75,0.03,19.5,0.03,19.18,0.06,19.97,5.2904199455389085,0.02528626587941836,12.80650887908067,5.046,5.3420000000000005,10.36,11.6,0.15,14.476744350665447,13.136744350665447,12.59674435066545,12.34674435066545,12.02674435066545,12.832544350665447
2000_AA54,53477,2451960.87648,21.11,0.13,19.67,0.02,19.1,0.01,18.92,0.02,18.81,0.04,19.33,5.288565563824025,0.03232052467834687,11.02582688007455,4.262,5.246,1.24,11.6,0.15,14.362791341837411,12.92279134183741,12.352791341837412,12.17279134183741,12.062791341837409,12.60169134183741
2000_QU179,54582,2453389.92504,22.08,0.26,20.21,0.06,19.64,0.02,19.45,0.02,19.18,0.07,19.87,5.165939055771743,0.08775075321836581,2.89246903216815,4.564,5.518,2.78,12.6,0.15,15.07436334055328,13.204363340553286,12.634363340553286,12.444363340553279,12.17436334055328,12.883263340553286
2000_QD225,54596,2453741.92669,22.11,0.19,20.57,0.04,20.08,0.02,19.88,0.03,19.91,0.08,20.27,5.081186495997865,0.07359148982377832,5.350905267891561,4.643,5.45,6.4,12.5,0.15,15.094024070285911,13.554024070285921,13.064024070285914,12.864024070285915,12.894024070285914,13.277990736952589
2000_QD225,54596,2453766.86493,21.61,0.17,20.15,0.03,19.74,0.03,19.53,0.04,19.45,0.06,19.9,5.081186495997865,0.07359148982377832,5.350905267891561,4.473,5.4460000000000015,1.81,12.5,0.15,14.676617324116984,13.216617324116983,12.806617324116983,12.596617324116988,12.516617324116984,12.985650657450314
2000_QD225,54596,2452207.82217,21.21,0.11,19.77,0.02,19.22,0.02,19.14,0.02,19.1,0.06,19.44,5.081186495997865,0.07359148982377832,5.350905267891561,4.042,4.988,3.89,12.5,0.15,14.68738623007105,13.247386230071047,12.697386230071045,12.617386230071054,12.57738623007105,12.937552896737714
2000_SS291,54646,2453439.72544,22.03,0.2,20.84,0.03,20.28,0.03,20.05,0.04,19.76,0.07,20.51,5.236970899308557,0.1095571092634896,3.5617272728931515,4.96,5.767,6.2,13.1,0.15,14.747841860494528,13.557841860494527,12.997841860494528,12.767841860494528,12.477841860494529,13.24237519382786
2000_SS291,54646,2453439.68024,22.45,0.29,20.83,0.03,20.2,0.03,19.93,0.03,19.78,0.07,20.45,5.236970899308557,0.1095571092634896,3.5617272728931515,4.959,5.767,6.19,13.1,0.15,15.168279701489967,13.548279701489966,12.918279701489967,12.648279701489965,12.498279701489967,13.193379701489967
2000_SS291,54646,2453441.67394,22.37,1.05,20.9,0.05,20.28,0.03,20.09,0.03,19.71,0.07,20.53,5.236970899308557,0.1095571092634896,3.5617272728931515,4.979,5.767,6.48,13.1,0.15,15.079539611568215,13.609539611568215,12.989539611568215,12.799539611568214,12.419539611568215,13.260272944901548
2000_SB350,54653,2452224.84699,21.05,0.09,19.56,0.02,18.93,0.02,18.6,0.02,18.5,0.18,19.19,5.232381960519269,0.052695421929977684,16.46546089616353,4.008,4.965,3.22,12.3,0.15,14.555765171547055,13.065765171547053,12.435765171547056,12.105765171547056,12.005765171547056,12.710865171547056
2000_SB350,54653,2453360.89791,22.17,0.23,20.67,0.03,20.07,0.02,19.79,0.03,19.57,0.07,20.31,5.232381960519269,0.052695421929977684,16.46546089616353,4.812,5.375,9.1,12.3,0.15,15.10647956372275,13.60647956372275,13.006479563722749,12.726479563722748,12.506479563722749,13.268479563722751
2000_SB350,54653,2452234.79974,21.09,0.12,19.72,0.23,19.01,0.03,18.74,0.2,18.6,0.04,19.3,5.232381960519269,0.052695421929977684,16.46546089616353,4.034,4.968,4.1,12.3,0.15,14.580412594773648,13.210412594773647,12.50041259477365,12.230412594773648,12.09041259477365,12.810445928106981
2000_SQ362,54655,2453389.91151,22.18,0.3,20.2,0.02,19.55,0.02,19.28,0.02,19.15,0.06,19.82,5.146708996965557,0.09330379050489138,17.44248790317842,4.547,5.513999999999999,2.08,12.4,0.15,15.184041420125684,13.204041420125685,12.554041420125685,12.284041420125686,12.154041420125685,12.837874753459019
2001_TH133,55457,2452234.76164,20.92,0.12,19.52,0.03,18.93,0.02,18.66,0.02,18.6,0.03,19.17,5.138214339421501,0.1811022851276092,16.21981457687736,3.668,4.544,6.43,11.6,0.15,14.810661751495273,13.410661751495269,12.820661751495269,12.550661751495268,12.490661751495269,13.078295084828602
2001_TH133,55457,2452224.8086900003,20.79,0.07,19.32,0.03,18.76,0.01,18.49,0.02,18.42,0.03,18.99,5.138214339421501,0.1811022851276092,16.21981457687736,3.5980000000000003,4.532,4.66,11.6,0.15,14.72824469899554,13.25824469899554,12.69824469899554,12.428244698995538,12.35824469899554,12.942778032328873
2001_TW148,55460,2453354.82978,21.27,0.09,19.84,0.02,19.38,0.02,19.2,0.02,19.13,0.06,19.56,5.182710776238316,0.034706404356138,7.858102866468794,4.463,5.227,7.35,11.9,0.15,14.430603065308599,13.0006030653086,12.540603065308595,12.360603065308599,12.290603065308595,12.741469731975265
2001_TW148,55460,2451813.79498,21.17,0.15,19.85,0.03,19.3,0.02,19.11,0.03,19.0,0.07,19.52,5.182710776238316,0.034706404356138,7.858102866468794,4.282,5.268,2.2,11.9,0.15,14.403537853759172,13.083537853759172,12.533537853759167,12.34353785375917,12.23353785375917,12.773704520425838
2001_TW148,55460,2452224.78562,21.09,0.08,19.82,0.02,19.18,0.01,19.06,0.02,18.96,0.04,19.44,5.182710776238316,0.034706404356138,7.858102866468794,4.421,5.329,4.65,11.9,0.15,14.229168824266072,12.95916882426607,12.319168824266072,12.19916882426607,12.099168824266071,12.598635490932741
2001_TW148,55460,2453352.87251,21.34,0.09,19.95,0.02,19.44,0.02,19.25,0.02,19.16,0.04,19.65,5.182710776238316,0.034706404356138,7.858102866468794,4.485,5.228,7.65,11.9,0.15,14.489509868556912,13.099509868556911,12.589509868556911,12.399509868556912,12.309509868556912,12.812209868556913
2001_UC73,55496,2453359.98887,21.3,0.09,19.88,0.03,19.32,0.03,19.09,0.02,19.02,0.04,19.55,5.25096491759596,0.04525361599823949,9.478141690256898,4.74,5.415,8.09,11.9,0.15,14.253115986822882,12.833115986822875,12.273115986822875,12.043115986822874,11.973115986822878,12.517649320156211
2001_UC73,55496,2453387.92014,21.48,0.1,19.82,0.05,19.25,0.01,19.09,0.02,18.95,0.05,19.48,5.25096491759596,0.04525361599823949,9.478141690256898,4.48,5.412000000000001,3.67,11.9,0.15,14.556820990381356,12.896820990381356,12.32682099038135,12.16682099038135,12.026820990381351,12.57572099038135
2002_CP82,55571,2452730.76825,21.43,0.12,19.89,0.02,19.34,0.02,19.17,0.01,19.12,0.04,19.56,5.189453442581931,0.0855524701428952,12.07137412322856,4.428999999999999,5.4110000000000005,2.17,11.6,0.15,14.532083928913298,12.9920839289133,12.4420839289133,12.2720839289133,12.2220839289133,12.682250595579966
2002_CP82,55571,2453526.82615,20.63,0.11,19.3,0.01,18.75,0.01,18.53,0.01,18.44,0.03,18.97,5.189453442581931,0.0855524701428952,12.07137412322856,3.94,4.926,3.08,11.6,0.15,14.190046853356707,12.860046853356707,12.310046853356708,12.090046853356707,12.000046853356707,12.550213520023371
Lampos,55678,2451819.81504,21.54,0.13,20.2,0.03,19.6,0.02,19.34,0.02,19.18,0.05,19.84,5.234183888135637,0.0988867606388276,7.383735694995928,4.669,5.605,3.96,12.6,0.15,14.451002545691011,13.111002545691012,12.511002545691015,12.25100254569101,12.09100254569101,12.773002545691016
2000_SS161,56976,2454173.80014,20.97,0.13,19.52,0.02,18.97,0.02,18.78,0.02,18.7,0.05,19.19,5.239948563333579,0.03503322663942349,13.24261733589351,4.53,5.41,5.35,11.2,0.15,14.023522664402993,12.573522664402995,12.023522664402993,11.833522664402995,11.753522664402993,12.26368933106966
2000_SS161,56976,2452224.79959,20.77,0.07,19.28,0.02,18.72,0.02,18.57,0.02,18.44,0.04,18.95,5.239948563333579,0.03503322663942349,13.24261733589351,4.123,5.053,4.27,11.2,0.15,14.176186834802055,12.686186834802056,12.126186834802056,11.976186834802055,11.846186834802054,12.370720168135389
2000_SS161,56976,2453350.99777,20.97,0.07,19.51,0.02,19.0,0.02,18.73,0.02,18.63,0.03,19.2,5.239948563333579,0.03503322663942349,13.24261733589351,4.662,5.232,9.32,11.2,0.15,14.033799977496152,12.57379997749616,12.063799977496155,11.793799977496155,11.693799977496154,12.286499977496154
2000_TD39,57013,2451792.92368,20.76,0.11,19.33,0.03,18.74,0.01,18.49,0.02,18.34,0.08,18.98,5.250385908478194,0.05526668199305679,17.59270783811216,4.177,5.15,3.23,11.5,0.15,14.096641478468444,12.666641478468435,12.07664147846844,11.82664147846844,11.67664147846844,12.334274811801775
2001_TE165,57626,2451813.83481,21.16,0.12,19.62,0.02,19.15,0.02,18.98,0.02,18.82,0.05,19.34,5.205446932234485,0.07043160786170967,11.977339715368919,4.024,5.001,2.87,11.8,0.15,14.641425867022305,13.101425867022307,12.631425867022305,12.461425867022307,12.301425867022305,12.836659200355639
2001_UY124,57714,2453405.80996,20.38,0.05,19.05,0.02,18.47,0.02,18.23,0.02,18.06,0.02,18.71,5.231134891051992,0.02476059577263844,16.59367039523322,4.125,5.106,1.16,11.5,0.15,13.762476183229122,12.432476183229124,11.852476183229122,11.612476183229125,11.442476183229122,12.105742849895787
2002_EL153,57920,2451960.76275,21.52,0.14,20.01,0.03,19.41,0.02,19.17,0.02,19.08,0.06,19.65,5.260972313154278,0.03845167578739632,4.618764081436302,4.207,5.184,1.88,13.0,0.15,14.826812475602337,13.316812475602337,12.716812475602335,12.476812475602335,12.386812475602332,12.978812475602336
2002_TW240,58008,2452552.96554,20.7,0.08,19.24,0.02,18.61,0.01,18.39,0.02,18.3,0.03,18.87,5.174394156759567,0.04273625695352823,17.35787059351393,4.198,5.029,6.93,12.0,0.15,14.077379650663454,12.617379650663455,11.987379650663454,11.767379650663454,11.677379650663458,12.262479650663455
2002_TW240,58008,2452551.9198,20.87,0.09,19.35,0.02,18.74,0.02,18.48,0.02,18.38,0.03,18.99,5.174394156759567,0.04273625695352823,17.35787059351393,4.207,5.03,7.09,12.0,0.15,14.242297514635382,12.722297514635382,12.112297514635381,11.852297514635382,11.752297514635382,12.378664181302044
2002_TW240,58008,2452558.9508700003,20.73,0.06,19.17,0.01,18.54,0.02,18.32,0.02,18.15,0.03,18.8,5.174394156759567,0.04273625695352823,17.35787059351393,4.152,5.0280000000000005,6.0,12.0,0.15,14.131736930728392,12.571736930728393,11.941736930728393,11.721736930728392,11.55173693072839,12.216836930728393
2002_TW240,58008,2452585.8303900003,20.4,0.05,19.04,0.02,18.37,0.02,18.71,0.03,18.08,0.02,18.64,5.174394156759567,0.04273625695352823,17.35787059351393,4.065,5.023,3.22,12.0,0.15,13.849881359551818,12.489881359551818,11.81988135955182,12.159881359551823,11.529881359551814,12.112448026218484
2002_TW240,58008,2452557.93863,20.6,0.06,19.29,0.03,18.64,0.01,18.4,0.02,18.3,0.03,18.9,5.174394156759567,0.04273625695352823,17.35787059351393,4.159,5.0280000000000005,6.16,12.0,0.15,13.998079053105734,12.688079053105733,12.038079053105733,11.798079053105733,11.698079053105733,12.321912386439068
Hiketaon,58084,2451819.78505,21.38,0.13,19.82,0.03,19.19,0.02,18.96,0.02,18.8,0.05,19.45,5.188239389474651,0.137760507940148,7.9589516515929,3.6719999999999997,4.54,6.98,12.9,0.15,15.270207373068454,13.710207373068455,13.080207373068454,12.850207373068454,12.690207373068453,13.355307373068454
1996_RN7,58473,2452338.7144,21.86,0.26,20.28,0.03,19.75,0.02,19.57,0.02,19.5,0.06,19.96,5.219836411831111,0.04603306926424901,5.087547271652532,3.995,4.984,0.96,13.4,0.15,15.364525913494385,13.784525913494384,13.254525913494385,13.074525913494384,13.004525913494385,13.485959246827722
1996_RJ29,58479,2452345.75931,21.47,0.14,20.03,0.03,19.48,0.02,19.29,0.02,19.15,0.05,19.71,5.222066949197084,0.03543989241070974,8.365743662368295,4.365,5.355,1.13,12.8,0.15,14.626281383952685,13.186281383952684,12.636281383952685,12.446281383952684,12.306281383952685,12.876448050619352
1998_TC31,59049,2453526.82782,20.81,0.1,19.5,0.01,18.93,0.01,18.72,0.01,18.54,0.03,19.16,5.147023339624528,0.1231161385732674,24.21524138905636,4.783,5.773,2.4,11.8,0.15,13.604490308147025,12.294490308147026,11.724490308147026,11.514490308147025,11.334490308147025,11.973390308147025
