Name,Number,jd,umag,umag_err,gmag,gmag_err,rmag,rmag_err,imag,imag_err,zmag,zmag_err,Vmag,a_orb,e_orb,i_orb,Delta,R,Phase,H,G,umag_red,gmag_red,rmag_red,imag_red,zmag_red,V
Mentor,3451,2451819.8752900003,16.85,0.01,15.41,0.02,14.91,0.01,14.72,0.01,14.71,0.02,15.11,5.16992620701036,0.07450222203753305,24.640235197379425,3.8789999999999996,4.877,1.04,8.1,0.15,10.465637324041886,9.025637324041886,8.525637324041886,8.335637324041887,8.325637324041887,8.74397065737522
Mentor,3451,2452173.86749,17.49,0.01,16.07,0.02,15.51,0.02,15.35,0.02,15.24,0.01,15.74,5.16992620701036,0.07450222203753305,24.640235197379425,4.354,5.056,8.77,8.1,0.15,10.776522550102978,9.35652255010298,8.79652255010298,8.63652255010298,8.52652255010298,9.041055883436313
Mentor,3451,2452171.96472,17.41,0.02,15.95,0.03,15.44,0.01,15.26,0.01,15.24,0.02,15.64,5.16992620701036,0.07450222203753305,24.640235197379425,4.374,5.055,9.0,8.1,0.15,10.687000306856813,9.227000306856807,8.717000306856809,8.53700030685681,8.51700030685681,8.939700306856809
Talthybius,3564,2451935.86376,18.73,0.03,17.23,0.02,16.65,0.01,16.41,0.01,16.27,0.02,16.89,5.200815438124581,0.03852544233581322,15.507176937670168,4.363,5.285,4.13,9.0,0.15,11.915848976848677,10.415848976848677,9.835848976848672,9.595848976848677,9.455848976848674,10.08911564351534
1974_FV1,3708,2451814.80695,17.39,0.02,15.95,0.02,15.39,0.02,15.17,0.01,14.93,0.01,15.61,5.2105313223388,0.1595634081357393,13.37146336457013,3.4339999999999997,4.401,3.91,9.3,0.15,11.493241703060784,10.053241703060783,9.493241703060786,9.273241703060787,9.033241703060783,9.737775036394117
Leonteus,3793,2452016.66847,18.04,0.02,16.58,0.02,16.05,0.02,15.85,0.01,15.72,0.01,16.27,5.222180188168528,0.09049000124965716,20.895173248371282,4.363,4.85,10.96,8.8,0.15,11.412365242054578,9.952365242054581,9.422365242054582,9.22236524205458,9.092365242054582,9.653798575387917
Polydoros,4708,2453359.9492900004,19.21,0.03,17.77,0.02,17.17,0.01,16.94,0.01,16.76,0.02,17.41,5.244847910243529,0.061094035200069924,6.9901186499473615,4.501,5.301,6.71,9.5,0.15,12.321665914175474,10.881665914175473,10.281665914175477,10.051665914175477,9.871665914175477,10.543665914175477
Polydoros,4708,2453387.87725,19.0,0.04,17.56,0.01,16.96,0.01,16.73,0.01,16.56,0.02,17.21,5.244847910243529,0.061094035200069924,6.9901186499473615,4.338,5.313,1.49,9.5,0.15,12.186853182060444,10.74685318206044,10.146853182060443,9.916853182060443,9.74685318206044,10.408853182060444
Lykaon,4792,2451813.81455,18.63,0.05,17.16,0.01,16.55,0.02,16.27,0.02,16.14,0.02,16.79,5.251420787079912,0.0924911900860532,9.3403811250761,3.815,4.803999999999999,2.2,10.0,0.15,12.31451229489116,10.84451229489116,10.23451229489116,9.954512294891162,9.82451229489116,10.500878961557829
Dares,4827,2453441.64727,19.69,0.03,18.26,0.01,17.68,0.02,17.45,0.02,17.35,0.02,17.91,5.132304110617558,0.0437066638217886,7.699793911786183,4.368,5.0680000000000005,8.59,10.1,0.15,12.964403820459578,11.53440382045958,10.954403820459575,10.724403820459576,10.62440382045958,11.207670487126244
Dares,4827,2453439.65342,19.65,0.04,18.17,0.01,17.61,0.01,17.38,0.01,17.23,0.02,17.84,5.132304110617558,0.0437066638217886,7.699793911786183,4.343999999999999,5.067,8.32,10.1,0.15,12.936796395642693,11.456796395642696,10.896796395642694,10.666796395642693,10.516796395642693,11.141329728976029
Dares,4827,2451819.78556,19.39,0.04,17.96,0.02,17.41,0.01,17.17,0.01,17.01,0.02,17.63,5.132304110617558,0.0437066638217886,7.699793911786183,4.157,5.023,6.29,10.1,0.15,12.79128398667118,11.36128398667118,10.81128398667118,10.57128398667118,10.41128398667118,11.051450653337849
Palinurus,4832,2453439.71308,19.9,0.05,18.34,0.02,17.75,0.02,17.48,0.03,17.35,0.02,17.99,5.262834986187016,0.1416470373043774,19.06453994944824,5.0569999999999995,5.94,4.74,9.8,0.15,12.51160300693131,10.951603006931313,10.361603006931311,10.091603006931312,9.961603006931313,10.619236340264647
Palinurus,4832,2453439.75828,19.8,0.04,18.38,0.02,17.77,0.02,17.49,0.02,17.35,0.03,18.02,5.262834986187016,0.1416470373043774,19.06453994944824,5.0569999999999995,5.94,4.75,9.8,0.15,12.411603006931312,10.99160300693131,10.38160300693131,10.101603006931311,9.961603006931313,10.647969673597975
Thessandrus,4902,2453528.75523,18.84,0.06,17.41,0.01,16.75,0.01,16.5,0.01,16.31,0.01,17.02,5.202450725522249,0.04401011934766814,9.075419010119283,4.4319999999999995,5.431,2.07,9.6,0.15,11.932602227434995,10.502602227434997,9.842602227434996,9.592602227434996,9.402602227434997,10.130802227434996
Thessandrus,4902,2453526.84553,18.78,0.06,17.48,0.02,16.86,0.01,16.61,0.01,16.44,0.01,17.11,5.202450725522249,0.04401011934766814,9.075419010119283,4.433,5.431,2.13,9.6,0.15,11.872112329540188,10.57211232954019,9.952112329540187,9.702112329540187,9.53211232954019,10.22284566287352
Askalaphus,4946,2452730.82882,19.19,0.03,17.75,0.02,17.13,0.02,16.9,0.01,16.75,0.02,17.38,5.321199002901247,0.04866390954213649,21.854853584128556,4.231,5.175,3.98,9.9,0.15,12.48823310269875,11.048233102698749,10.428233102698748,10.198233102698747,10.048233102698749,10.698966436032082
Askalaphus,4946,2452756.80905,19.1,0.03,17.7,0.03,17.08,0.02,16.85,0.02,16.7,0.01,17.33,5.321199002901247,0.04866390954213649,21.854853584128556,4.224,5.167000000000002,4.32,9.9,0.15,12.405188144642914,11.005188144642911,10.38518814464291,10.155188144642915,10.005188144642911,10.655921477976245
Eurymedon,5012,2452338.74813,19.93,0.05,18.27,0.01,17.75,0.02,17.59,0.01,17.48,0.02,17.96,5.264276589898357,0.08629968498239679,4.994530119543613,4.697,5.681,1.3,11.1,0.15,12.798773252697465,11.138773252697463,10.618773252697464,10.458773252697464,10.348773252697463,10.845839919364133
Agapenor,5023,2452318.811,19.34,0.03,17.83,0.01,17.33,0.01,17.14,0.01,17.04,0.01,17.53,5.162473523741551,0.052559310319781,11.79017357077207,4.353,5.327999999999999,1.85,10.0,0.15,12.513235583401785,11.003235583401782,10.503235583401784,10.313235583401788,10.213235583401783,10.721568916735118
1986_TS6,5025,2452338.72679,19.27,0.04,17.8,0.01,17.26,0.02,17.09,0.02,16.98,0.03,17.48,5.191943181338421,0.07622363816903258,11.029741348791573,4.2780000000000005,5.269,0.24,9.8,0.15,12.505155105958512,11.035155105958513,10.495155105958514,10.325155105958512,10.215155105958512,10.730955105958511
Androgeos,5027,2452812.66768,19.83,0.04,18.32,0.02,17.7,0.02,17.43,0.02,17.26,0.03,17.96,5.301225859314696,0.06683589050547381,31.44750537410592,5.112,5.581,9.69,9.4,0.15,12.553485661664975,11.043485661664977,10.423485661664976,10.153485661664977,9.98348566166498,10.69421899499831
Halaesus,5028,2451640.65124,19.85,0.04,18.47,0.02,17.87,0.01,17.63,0.01,17.49,0.02,18.11,5.259227146748552,0.131417078802997,21.48110718685924,4.755,4.918,11.72,9.9,0.15,13.005304771619349,11.625304771619346,11.025304771619345,10.785304771619344,10.645304771619342,11.287304771619349
1989_CW1,5209,2451960.75743,19.11,0.03,17.66,0.02,16.87,0.01,16.62,0.02,16.62,0.03,17.2,5.207154367079999,0.05184642885899447,9.04384680458393,4.143,5.125,1.54,10.1,0.15,12.47495598486957,11.024955984869573,10.234955984869572,9.984955984869572,9.984955984869572,10.579922651536238
